time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
1.000660,4,1417.573,1049.282,2454.234,677.685,3589.786,1625.943,4458.988,1185.273,--undefined--,--undefined--
1.006910,4,1588.665,791.999,2453.443,663.563,3671.952,879.811,4771.834,815.548,--undefined--,--undefined--
1.013160,4,1273.557,841.319,2330.911,523.176,3574.897,904.731,4248.697,1063.267,--undefined--,--undefined--
1.019410,4,1221.523,676.156,2304.882,782.019,3668.512,654.790,4273.023,1123.157,--undefined--,--undefined--
1.025660,4,1239.988,686.926,2442.748,497.704,3578.532,537.583,4769.418,483.400,--undefined--,--undefined--
1.031910,4,1504.690,734.575,2487.760,418.256,3597.009,769.269,4746.502,545.642,--undefined--,--undefined--
1.038160,4,1412.269,730.310,2505.330,549.420,3493.887,1273.569,4178.803,984.485,--undefined--,--undefined--
1.044410,4,1610.173,1113.787,2416.803,1431.668,3224.651,995.620,4103.593,968.450,--undefined--,--undefined--
1.050660,4,1613.517,1772.620,2149.672,725.419,3400.696,807.380,4263.494,1472.472,--undefined--,--undefined--
1.056910,4,1639.841,1392.395,2250.136,890.350,3423.026,1666.308,4450.202,940.233,--undefined--,--undefined--
1.063160,4,1388.581,1217.229,2569.886,534.407,4192.527,2830.625,4254.657,797.985,--undefined--,--undefined--
1.069410,4,1334.649,920.122,2529.944,682.940,3090.365,1028.053,4237.549,620.177,--undefined--,--undefined--
1.075660,4,1334.816,990.968,2314.327,743.748,3159.586,649.596,4339.484,700.048,--undefined--,--undefined--
1.081910,4,1318.525,1003.603,2228.513,509.686,3173.167,566.666,4245.552,710.670,--undefined--,--undefined--
1.088160,4,1390.289,514.472,2351.394,537.909,3356.439,888.730,4267.401,724.735,--undefined--,--undefined--
1.094410,4,1401.483,958.692,2282.392,663.866,3570.031,1153.719,4720.156,1021.660,--undefined--,--undefined--
1.100660,4,1318.206,887.931,2102.065,552.317,3300.386,714.102,4481.435,826.344,--undefined--,--undefined--
1.106910,5,381.519,2139.496,1696.749,622.147,2853.230,1012.037,3640.039,1314.473,4968.199,816.595
1.113160,4,621.333,649.191,1906.591,526.037,3082.782,456.463,4243.790,710.968,--undefined--,--undefined--
1.119410,4,887.462,859.530,2091.744,671.447,3154.896,446.972,4301.122,547.385,--undefined--,--undefined--
1.125660,4,1223.971,737.883,2099.891,569.649,3306.429,474.974,4493.300,763.040,--undefined--,--undefined--
1.131910,4,1145.218,724.648,2053.049,454.765,3320.675,440.869,4409.523,610.917,--undefined--,--undefined--
1.138160,4,1242.025,789.206,2051.002,836.847,3259.590,572.542,4370.990,665.545,--undefined--,--undefined--
1.144410,4,964.979,1101.912,1731.482,906.019,2965.192,541.374,4282.777,779.360,--undefined--,--undefined--
1.150660,4,1093.081,834.594,1696.633,1287.395,2830.959,566.709,3933.762,813.485,--undefined--,--undefined--
1.156910,5,813.532,975.871,1828.375,1021.717,3026.723,843.041,3844.405,2319.307,4730.746,817.562
1.163160,4,850.873,652.678,2169.630,1024.153,3106.800,663.531,4648.981,769.292,--undefined--,--undefined--
1.169410,4,1006.013,828.712,2381.612,859.413,3202.979,667.878,4276.447,1033.165,--undefined--,--undefined--
1.175660,4,1379.257,1532.408,2233.593,868.862,3111.275,859.543,4352.056,708.721,--undefined--,--undefined--
1.181910,4,1509.224,1342.313,1980.598,943.696,3369.842,836.579,4567.949,886.647,--undefined--,--undefined--
1.188160,5,1164.511,1857.680,1667.033,1670.097,2360.958,1580.198,3812.028,1291.284,4634.940,966.055
1.194410,4,1161.952,1517.243,2265.345,616.886,3674.082,1112.163,4780.073,928.684,--undefined--,--undefined--
1.200660,4,913.563,1407.326,2188.689,475.298,3278.466,625.110,4373.910,567.759,--undefined--,--undefined--
1.206910,4,899.617,874.133,2166.109,535.288,3167.829,386.130,4337.916,541.690,--undefined--,--undefined--
1.213160,4,1056.838,733.887,2216.989,301.981,3089.068,308.350,4322.792,396.409,--undefined--,--undefined--
1.219410,4,1843.668,775.807,2873.058,895.446,3797.674,1701.141,4767.638,956.248,--undefined--,--undefined--
1.225660,4,1411.646,797.790,2646.571,747.503,3488.300,1217.704,4703.108,1254.146,--undefined--,--undefined--
1.231910,4,1154.007,911.631,2250.605,620.998,3309.030,636.966,4367.890,585.931,--undefined--,--undefined--
1.238160,4,1573.132,975.632,2682.842,783.064,3836.472,1243.912,4656.097,951.806,--undefined--,--undefined--
1.244410,4,1439.328,682.808,2656.741,425.950,3639.417,945.193,4786.876,442.918,--undefined--,--undefined--
1.250660,4,1467.619,1301.256,2635.864,1210.216,3394.265,2435.373,4641.425,703.494,--undefined--,--undefined--
1.256910,4,1034.275,2486.810,1906.608,792.882,3125.381,948.562,4297.074,457.201,--undefined--,--undefined--
1.263160,4,1129.948,1148.277,2147.963,733.895,3244.670,473.740,4210.477,464.898,--undefined--,--undefined--
1.269410,4,1251.257,895.651,2391.008,530.030,3390.882,608.944,4188.230,714.015,--undefined--,--undefined--
1.275660,3,1841.057,724.331,2789.766,656.587,4014.270,712.883,--undefined--,--undefined--,--undefined--,--undefined--
1.281910,4,1823.287,816.400,2581.479,692.978,3931.138,675.435,4972.284,961.253,--undefined--,--undefined--
1.288160,4,1373.963,1594.132,2386.338,444.152,3644.386,701.624,4907.271,893.399,--undefined--,--undefined--
1.294410,5,397.185,1040.297,2192.819,538.164,3198.510,1029.344,3911.922,3128.451,4782.964,1021.045
1.300660,4,373.775,1193.090,2032.668,738.253,2994.463,838.970,4093.887,646.363,--undefined--,--undefined--
1.306910,3,1619.174,872.528,2871.344,896.567,3946.545,809.500,--undefined--,--undefined--,--undefined--,--undefined--
1.313160,4,1332.867,913.170,2205.380,681.165,3247.219,637.671,4410.737,639.585,--undefined--,--undefined--
1.319410,4,1380.649,812.633,2349.750,507.331,3251.086,855.099,4303.918,619.261,--undefined--,--undefined--
1.325660,4,1376.122,841.699,2421.158,680.552,3292.723,1029.106,4413.884,852.350,--undefined--,--undefined--
1.331910,4,1412.906,997.753,2217.834,663.497,3271.905,695.629,4502.575,414.038,--undefined--,--undefined--
1.338160,4,2018.387,762.237,2078.052,2486.429,3687.938,1344.536,4844.153,1091.477,--undefined--,--undefined--
1.344410,4,1904.462,991.676,2446.040,1347.832,3768.610,621.610,4949.955,826.083,--undefined--,--undefined--
1.350660,4,1389.796,1110.416,2399.784,886.150,3667.088,788.224,4777.766,1307.681,--undefined--,--undefined--
1.356910,4,1185.132,1895.553,2384.420,1023.266,3291.591,941.274,4353.027,1038.101,--undefined--,--undefined--
1.363160,4,1328.472,1161.207,2440.882,745.412,3425.898,729.554,4617.067,908.419,--undefined--,--undefined--
1.369410,4,1538.546,787.064,2599.293,918.579,3643.306,901.196,4822.137,1046.084,--undefined--,--undefined--
1.375660,4,1410.565,704.602,2407.029,728.867,3595.934,588.761,5052.824,1021.240,--undefined--,--undefined--
1.381910,4,1326.121,841.222,2412.387,617.350,3392.044,631.907,4928.678,975.069,--undefined--,--undefined--
1.388160,4,1358.171,941.999,2519.347,923.627,3169.947,853.541,4241.803,576.203,--undefined--,--undefined--
1.394410,4,1456.173,462.366,2495.749,721.836,3495.762,963.954,4242.823,710.004,--undefined--,--undefined--
1.400660,4,1346.467,708.929,2353.940,468.396,3670.107,624.924,4337.999,1498.054,--undefined--,--undefined--
1.406910,4,1366.476,1353.003,2322.500,536.307,3609.329,696.982,4867.365,721.731,--undefined--,--undefined--
1.413160,4,1284.273,1308.198,2349.418,653.022,3747.486,650.458,4914.302,1449.759,--undefined--,--undefined--
1.419410,4,414.762,2406.859,2237.209,434.586,3451.508,971.310,4451.862,1175.254,--undefined--,--undefined--
1.425660,4,1518.186,1294.100,2392.800,561.076,3592.190,621.290,4858.941,501.898,--undefined--,--undefined--
1.431910,4,1648.053,800.482,2448.950,817.976,3593.032,671.441,4834.684,582.333,--undefined--,--undefined--
1.438160,4,1533.492,742.401,2761.675,1040.641,3891.117,1720.995,4071.477,1958.696,--undefined--,--undefined--
1.444410,4,1485.324,573.087,2547.015,963.373,3630.581,1088.518,4067.160,1335.578,--undefined--,--undefined--
1.450660,4,1516.922,609.176,2387.623,1062.406,3320.188,839.545,4471.642,802.845,--undefined--,--undefined--
1.456910,3,1836.099,441.283,3044.155,714.480,4118.810,598.075,--undefined--,--undefined--,--undefined--,--undefined--
1.463160,4,1811.114,509.264,2942.387,802.679,3833.023,601.426,5185.940,1132.184,--undefined--,--undefined--
1.469410,4,186.099,1108.508,1857.975,385.811,3026.131,623.254,4025.850,659.506,--undefined--,--undefined--
1.475660,4,532.931,1126.374,1946.548,409.710,3092.378,590.462,4141.733,882.003,--undefined--,--undefined--
1.481910,4,590.876,1133.749,1963.193,610.577,3183.645,601.496,4409.836,1274.067,--undefined--,--undefined--
1.488160,5,585.560,644.263,1892.398,430.794,3075.659,1171.261,3521.515,926.249,4813.507,630.326
1.494410,5,585.899,757.795,1932.420,327.357,2878.919,2071.036,3560.939,532.523,4837.389,536.235
1.500660,5,234.590,1135.667,1928.337,340.979,2687.427,1307.983,3587.324,471.551,4826.986,451.828
1.506910,5,289.438,997.026,1925.874,319.874,2647.353,928.220,3794.960,621.390,4848.827,858.749
1.513160,5,487.807,533.388,1908.471,146.466,2781.321,529.903,3866.042,742.317,5023.889,738.223
1.519410,5,673.370,358.948,1947.933,163.674,2838.120,368.591,3690.241,1404.912,4935.634,515.652
1.525660,5,745.165,270.084,1946.810,53.918,2715.921,193.919,3623.155,576.732,4861.315,495.245
1.531910,5,876.953,598.307,1974.737,40.258,2666.779,145.919,3736.912,801.330,4825.779,1448.202
1.538160,5,1027.266,1270.132,1959.610,39.159,2619.695,206.353,3715.751,1004.570,4575.135,1689.233
1.544410,5,937.583,890.575,1902.474,38.900,2689.299,40.026,3409.971,1089.007,4789.335,829.955
